,A,B,C,class
1755,19.234885159597034,-27.72366460899603,9.073133412283028,3.0
1756,23.54434365359407,-28.26900399493013,5.366402960920276,0.0
1757,27.853802147591104,-28.81434338086423,1.6596725095575238,0.0
1758,32.16326064158813,-29.35968276679833,-2.047057941805228,0.0
1759,36.47271913558517,-29.90502215273243,-5.75378839316798,0.0
1760,-32.101087487001976,4.772196929279945,20.570818906080696,2.0
1761,-27.79162899300494,4.2268575433458455,16.864088454717944,2.0
1762,-23.482170499007907,3.6815181574117464,13.157358003355192,2.0
1763,-19.172712005010876,3.1361787714776472,9.45062755199244,2.0
1764,-14.863253511013841,2.590839385543548,5.743897100629688,2.0
1765,-24.258808887000058,1.4530329921680334,19.05949755208902,2.0
1766,-19.949350393003026,0.9076936062339342,15.352767100726268,2.0
1767,-15.639891899005992,0.3623542202998351,11.646036649363516,2.0
1768,-11.33043340500896,-0.18298516563426404,7.939306198000764,2.0
1769,-7.020974911011926,-0.7283245515683632,4.2325757466380125,2.0
1770,-16.416530286998142,-1.8661309449438797,17.548176198097337,2.0
1771,-12.107071793001111,-2.411470330877977,13.841445746734585,2.0
1772,-7.797613299004077,-2.956809716812076,10.134715295371834,2.0
1773,-3.488154805007042,-3.502149102746179,6.427984844009082,2.0
1774,0.8213036889899925,-4.047488488680278,2.7212543926463297,2.0
1775,-8.574251686996227,-5.185294882055791,16.036854844105655,2.0
1776,-4.264793192999196,-5.73063426798989,12.330124392742903,2.0
1777,0.04466530099784194,-6.275973653923989,8.62339394138015,2.0
1778,4.3541237949948695,-6.821313039858092,4.916663490017399,2.0
1779,8.663582288991904,-7.366652425792191,1.209933038654647,0.0
1780,-0.7319730869943086,-8.504458819167704,14.525533490113979,2.0
1781,3.577485407002726,-9.049798205101803,10.818803038751227,2.0
1782,7.886943900999761,-9.595137591035902,7.112072587388475,2.0
1783,12.196402394996788,-10.140476976970005,3.405342136025723,3.0
1784,16.505860888993823,-10.685816362904104,-0.3013883153370287,0.0
1785,7.110305513007603,-11.823622756279617,13.014212136122296,2.0
1786,11.419764007004638,-12.368962142213716,9.307481684759544,3.0
1787,15.729222501001672,-12.914301528147815,5.600751233396792,3.0
1788,20.038680994998707,-13.459640914081918,1.8940207820340405,0.0
1789,24.34813948899574,-14.004980300016017,-1.8127096693287115,0.0
1790,14.952584113009522,-15.142786693391526,11.502890782130613,3.0
1791,19.262042607006556,-15.688126079325626,7.7961603307678615,3.0
1792,23.57150110100359,-16.233465465259727,4.08942987940511,3.0
1793,27.880959595000625,-16.778804851193826,0.3826994280423577,0.0
1794,32.19041808899765,-17.324144237127925,-3.3240310233203942,0.0
1795,22.794862713011433,-18.461950630503438,9.99156942813893,3.0
1796,27.104321207008468,-19.007290016437537,6.284838976776179,3.0
1797,31.413779701005502,-19.552629402371636,2.578108525413427,0.0
1798,35.72323819500253,-20.097968788305735,-1.128621925949325,0.0
1799,40.03269668899957,-20.643308174239834,-4.835352377312077,0.0
1800,-28.541109933587578,14.03391090777253,21.4892549219366,0.0
1801,-24.231651439590543,13.48857152183843,17.782524470573847,0.0
1802,-19.92219294559351,12.943232135904331,14.075794019211095,0.0
1803,-15.612734451596477,12.397892749970232,10.369063567848343,0.0
1804,-11.303275957599443,11.852553364036133,6.662333116485591,0.0
1805,-20.69883133358566,10.714746970660618,19.977933567944923,2.0
1806,-16.389372839588628,10.169407584726518,16.27120311658217,0.0
1807,-12.079914345591593,9.624068198792418,12.56447266521942,0.0
1808,-7.770455851594562,9.07872881285832,8.857742213856667,0.0
1809,-3.4609973575975275,8.53338942692422,5.151011762493916,0.0
1810,-12.856552733583744,7.395583033548705,18.46661221395324,2.0
1811,-8.547094239586713,6.850243647614605,14.759881762590489,2.0
1812,-4.237635745589678,6.304904261680506,11.053151311227737,2.0
1813,0.07182274840735658,5.759564875746406,7.346420859864985,2.0
1814,4.381281242404391,5.214225489812307,3.639690408502233,1.0
1815,-5.014274133581829,4.076419096436792,16.955290859961558,2.0
1816,-0.704815639584794,3.531079710502693,13.248560408598806,2.0
1817,3.6046428544122406,2.985740324568594,9.541829957236054,2.0
1818,7.914101348409268,2.440400938634495,5.835099505873302,1.0
1819,12.223559842406303,1.8950615527003958,2.12836905451055,1.0
1820,2.828004466420083,0.7572551593248793,15.443969505969882,2.0
1821,7.137462960417118,0.21191577339078016,11.73723905460713,2.0
1822,11.446921454414152,-0.333423612543319,8.030508603244378,2.0
1823,15.756379948411187,-0.8787629984774181,4.323778151881626,1.0
1824,20.06583844240822,-1.4241023844115173,0.6170477005188744,1.0
1825,10.670283066422002,-2.56190877778703,13.9326481519782,2.0
1826,14.979741560419036,-3.1072481637211293,10.225917700615447,2.0
1827,19.28920005441607,-3.6525875496552285,6.519187249252695,1.0
1828,23.598658548413106,-4.197926935589331,2.8124567978899435,1.0
1829,27.90811704241014,-4.74326632152343,-0.8942736534728084,1.0
1830,18.51256166642392,-5.881072714898943,12.421326797986517,2.0
1831,22.822020160420955,-6.426412100833042,8.714596346623765,3.0
1832,27.13147865441799,-6.9717514867671415,5.007865895261013,1.0
1833,31.440937148415024,-7.517090872701244,1.3011354438982607,1.0
1834,35.75039564241205,-8.062430258635343,-2.405595007464491,0.0
1835,26.354840266425832,-9.200236652010856,10.910005443994834,3.0
1836,30.664298760422874,-9.745576037944955,7.203274992632082,3.0
1837,34.9737572544199,-10.290915423879055,3.49654454126933,0.0
1838,39.28321574841693,-10.836254809813157,-0.21018591009342202,0.0
1839,43.59267424241397,-11.381594195747256,-3.916916361456174,0.0
1840,-24.98113238017318,23.295624886265117,22.407690937792502,0.0
1841,-20.671673886176144,22.750285500331017,18.70096048642975,0.0
1842,-16.36221539217911,22.20494611439692,14.994230035066998,0.0
1843,-12.052756898182079,21.65960672846282,11.287499583704246,0.0
1844,-7.743298404185044,21.114267342528716,7.580769132341494,0.0
1845,-17.138853780171264,19.976460949153203,20.896369583800826,0.0
1846,-12.829395286174229,19.4311215632191,17.189639132438074,0.0
1847,-8.519936792177194,18.885782177285,13.482908681075322,0.0
1848,-4.210478298180163,18.340442791350902,9.77617822971257,0.0
1849,0.09898019581687123,17.795103405416803,6.069447778349819,3.0
1850,-9.296575180169345,16.65729701204129,19.385048229809144,0.0
1851,-4.987116686172314,16.11195762610719,15.678317778446392,0.0
1852,-0.6776581921752793,15.566618240173092,11.97158732708364,0.0
1853,3.6318003018217553,15.021278854238991,8.264856875720888,2.0
1854,7.94125879581879,14.475939468304892,4.558126424358136,1.0
1855,-1.45429658016743,13.338133074929377,17.87372687581746,2.0
1856,2.8551619138296047,12.792793688995278,14.166996424454709,2.0
1857,7.164620407826639,12.247454303061179,10.460265973091957,1.0
1858,11.474078901823667,11.70211491712708,6.753535521729205,1.0
1859,15.783537395820701,11.15677553119298,3.046805070366453,1.0
1860,6.387982019834482,10.018969137817464,16.362405521825785,2.0
1861,10.697440513831516,9.473629751883365,12.655675070463033,1.0
1862,15.006899007828551,8.928290365949266,8.948944619100281,1.0
1863,19.316357501825586,8.382950980015167,5.242214167737529,1.0
1864,23.62581599582262,7.837611594081067,1.5354837163747774,1.0
1865,14.2302606198364,6.699805200705553,14.851084167834102,1.0
1866,18.539719113833435,6.154465814771453,11.14435371647135,1.0
1867,22.84917760783047,5.609126428837355,7.4376232651085985,1.0
1868,27.158636101827504,5.063787042903254,3.7308928137458466,1.0
1869,31.46809459582453,4.518447656969155,0.02416236238309466,1.0
1870,22.07253921983832,3.38064126359364,13.33976281384242,1.0
1871,26.381997713835354,2.835301877659541,9.633032362479668,1.0
1872,30.691456207832395,2.2899624917254418,5.926301911116916,1.0
1873,35.00091470182942,1.7446231057913426,2.219571459754164,1.0
1874,39.31037319582645,1.1992837198572435,-1.487158991608588,1.0
1875,29.91481781984023,0.06147732648172699,11.828441459850737,1.0
1876,34.22427631383727,-0.48386205945237215,8.121711008487985,1.0
1877,38.5337348078343,-1.0292014453864713,4.414980557125233,1.0
1878,42.84319330183133,-1.5745408313205704,0.708250105762481,1.0
