COMPNOS,NatureCode,Location
120422569,MVPED2,"(42.34715634, -71.07592456)"
120424200,VANRPT,"(42.28877455, -71.08353344)"
120425213,LARCRT,"(42.27648603, -71.09135119)"
120422790,BERPT ,"(42.25862165, -71.12519913)"
120422809,LARCIP,"(42.32731635, -71.06731956)"
120423978,LSTPRP,"(42.29457136, -71.11538955)"
120422617,ARREST,"(42.33481135, -71.03741957)"
120422630,LARCIP,"(42.32020071, -71.06091491)"
120422633,ARREST,"(42.34846635, -71.08665456)"
120424974,HITRUN,"(42.35540635, -71.13302454)"
120427667,HITRUN,"(42.27893136, -71.05418957)"
120422927,LSTPRP,"(42.36028259, -71.06362866)"
120424100,IVPER ,"(42.31037135, -71.06123456)"
120422677,SHOT  ,"(42.28537261, -71.0835041)"
120424416,HITRUN,"(42.31650785, -71.0828707)"
120422724,MISPER,"(42.34938895, -71.14242987)"
120422703,DVIP  ,"(42.33954135, -71.05201456)"
120426669,STOLMV,"(42.27306136, -71.08731956)"
120422928,LSTPRP,"(42.36396134, -71.05597956)"
120422740,TSTOP ,"(42.33888135, -71.08112956)"
120422742,ABIP  ,"(42.31663333, -71.09171255)"
120422748,FDPROP,"(0.0, 0.0)"
120422770,IVPER ,"(42.32538828, -71.10287429)"
120422767,LARCIP,"(42.35647634, -71.05929456)"
120427486,VANRPT,"(42.38378718, -71.00259354)"
120422817,ROBIP ,"(42.32957067, -71.09357194)"
120422844,LARCIP,"(42.32454196, -71.08825956)"
120422877,IVMV  ,"(42.35773634, -71.05462456)"
120423728,BERPT ,"(42.32937538, -71.08474665)"
120423773,BEMVRT,"(42.26834713, -71.12790504)"
120438925,LSTPRP,"(42.35991634, -71.06638956)"
120426565,LARCRT,"(42.34449135, -71.06924455)"
120422985,LARCRT,"(42.35160304, -71.1190792)"
120422886,FDPROP,"(42.25421137, -71.12875955)"
120422917,BEIP  ,"(42.25614637, -71.13074455)"
120422951,ALARMX,"(42.3027161, -71.08248738)"
120422934,DISTRB,"(42.32742635, -71.07702455)"
120422958,EDP2  ,"(42.34302135, -71.06493956)"
120423815,PDRPT ,"(42.34449135, -71.06924455)"
120423849,HITRUN,"(42.32898611, -71.08806258)"
120422999,IVPER ,"(42.34938895, -71.14242987)"
120422984,ALARMI,"(42.30158398, -71.08116128)"
120423031,LSTPRP,"(42.34007135, -71.16614953)"
120423039,ABDWIP,"(42.37619134, -71.03980956)"
120423061,MVBLDR,"(42.38198635, -71.03770957)"
120423079,STAB  ,"(42.32042135, -71.07776956)"
120429476,VANRPT,"(42.32657135, -71.05252956)"
120438943,LARCRT,"(42.32902662, -71.08341206)"
120431681,IVPER ,"(42.31475136, -71.08353956)"
120532744,MVARPT,"(42.30972244, -71.10427304)"
120423106,LARCIP,"(42.3727862, -71.0390398)"
120423126,CRIP  ,"(42.35312135, -71.12820454)"
120423109,FIREB ,"(42.35558135, -71.15318453)"
120816658,INVEST,"(42.36949634, -71.03745457)"
120428126,IVMV  ,"(42.28395636, -71.06013957)"
120423137,FIGHT ,"(42.32501543, -71.05924631)"
120423358,ABRPT ,"(42.32501543, -71.05924631)"
120423758,VANRPT,"(42.35216476, -71.05571983)"
120423121,CD14  ,"(0.0, 0.0)"
120431449,IVPER ,"(42.32027635, -71.10965954)"
120423359,IVPREM,"(42.32501543, -71.05924631)"
120423140,VANIP ,"(42.34058135, -71.08173956)"
120424576,BEMVRT,"(42.32749583, -71.05531204)"
120423170,SHOTS ,"(42.35056831, -71.16777917)"
120430077,ABRPT ,"(42.34505135, -71.14232954)"
120423054,IVMV  ,"(42.3107804, -71.07130327)"
120424043,ILLPRK,"(42.34134635, -71.08080456)"
120423178,IVPER ,"(42.30029356, -71.07212174)"
120423124,TRESPS,"(42.28465258, -71.07842092)"
120423253,REQP  ,"(42.37490134, -71.03870957)"
120423290,PERGUN,"(42.33455599, -71.07818596)"
120423366,VANRPT,"(42.31786135, -71.08490955)"
120423287,TSTOP ,"(42.36765134, -71.03710456)"
120423306,LSTPRP,"(42.34671135, -71.08008456)"
120423316,MVACC ,"(42.32062135, -71.07503956)"
120423321,BEMVRT,"(42.31922053, -71.11042293)"
120423334,MVA   ,"(0.0, 0.0)"
120423350,CRIP  ,"(42.26772046, -71.1270953)"
120423361,BEMVRT,"(42.39329401, -71.0086428)"
120423373,IVPREM,"(42.34915614, -71.09337455)"
120423405,MISPER,"(42.34938895, -71.14242987)"
120423387,FIREB ,"(42.36493634, -71.06222956)"
120423400,LARCRT,"(42.29576386, -71.15741095)"
